feature_set,outcome,model,tier,metric,mean,std
F_BIO,gose_12m,RF,T1_Classical,R2,0.6452766825458683,0.06124296776987944
F_BIO,gose_12m,GBR,T1_Classical,R2,0.6593807314579392,0.047514640780475445
F_BIO,gose_12m,Stacking,T2_Ensemble,R2,0.6700241963619076,0.04990861651129163
F_BIO,gose_12m,Ordinal_LR,T3_Ordinal,R2,0.5576339935596564,0.0
F_BIO,fim_total_12m,LASSO,T1_Classical,R2,0.6456560343735888,0.03297230307557777
F_BIO,fim_total_12m,RF,T1_Classical,R2,0.5996228937380167,0.02346610408925682
F_BIO,fim_total_12m,GBR,T1_Classical,R2,0.6388235174118119,0.023639320636932745
F_BIO,fim_total_12m,Stacking,T2_Ensemble,R2,0.6502169616172417,0.03314737134347202
F_BIO,barthel_12m,LASSO,T1_Classical,R2,0.6185959531990182,0.03644609819446022
F_BIO,barthel_12m,RF,T1_Classical,R2,0.573735016283706,0.0316517280332378
F_BIO,barthel_12m,GBR,T1_Classical,R2,0.6075298173097463,0.028409969050856267
F_BIO,barthel_12m,Stacking,T2_Ensemble,R2,0.6219429916098915,0.035331655597995316
F_BIO,hads_anxiety_12m,LASSO,T1_Classical,R2,0.5199913496295785,0.01279529394674549
F_BIO,hads_anxiety_12m,RF,T1_Classical,R2,0.4854195558325111,0.02461605819562319
F_BIO,hads_anxiety_12m,GBR,T1_Classical,R2,0.5077599595294255,0.0225964381016385
F_BIO,hads_anxiety_12m,Stacking,T2_Ensemble,R2,0.523323956068265,0.01442449896535732
F_BIO,moca_12m,LASSO,T1_Classical,R2,0.34985708214590466,0.027943577575356617
F_BIO,moca_12m,RF,T1_Classical,R2,0.34211065510764904,0.031858479841089096
F_BIO,moca_12m,GBR,T1_Classical,R2,0.37982037558934156,0.03221944710834318
F_BIO,moca_12m,Stacking,T2_Ensemble,R2,0.3910889854596101,0.033545210216051134
F_BIO,return_to_work_12m,LogReg,T1_Classical,AUC,0.8050331119392833,0.006217643767612463
F_BIO,return_to_work_12m,RF,T1_Classical,AUC,0.8307181260834879,0.008340198945457929
F_BIO,return_to_work_12m,GBC,T1_Classical,AUC,0.8519713239144939,0.017265917806479163
F_BIO,return_to_work_12m,Stacking,T2_Ensemble,AUC,0.8524309557515861,0.01516813993608154
F_BIO,mortality_12m,LogReg,T1_Classical,AUC,0.5742249744900347,0.020539361993846095
F_BIO,mortality_12m,RF,T1_Classical,AUC,0.5682282619542297,0.014469186605348187
F_BIO,mortality_12m,GBC,T1_Classical,AUC,0.5565428859215068,0.03220919934541674
F_BIO,mortality_12m,Stacking,T2_Ensemble,AUC,0.5818220020886005,0.033893159211090276
F_NEW,gose_12m,LASSO,T1_Classical,R2,0.686050948978105,0.0454014852808449
F_NEW,gose_12m,RF,T1_Classical,R2,0.6582497498971954,0.06555019431842865
F_NEW,gose_12m,GBR,T1_Classical,R2,0.6856689894695265,0.048839391403749516
